Running Env Steps,Reward Loss,Real Det Return,Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Running Update Time
2030000,-98574.8203125,60.27,60.34,406,716.5868,1142.1231,406
2035000,-95309.890625,61.78,61.48,407,674.9024,539.9733,407
2040000,-97120.1328125,60.58,60.39,408,661.609,999.1163,408
2045000,-95308.0,62.08,62.14,409,640.4146,621.017,409
2050000,-92982.3203125,60.58,60.98,410,653.1921,1294.5529,410
2055000,-94174.2578125,58.35,58.6,411,637.2127,615.2593,411
2060000,-92694.59375,61.85,61.94,412,641.6317,1451.2448,412
2065000,-91947.859375,62.3,62.04,413,644.334,1101.2614,413
2070000,-91523.3671875,59.77,60.16,414,652.0537,539.0871,414
2075000,-90747.203125,59.53,59.22,415,680.5821,996.1085,415
2080000,-95872.5390625,59.4,60.2,416,681.7782,525.0848,416
2085000,-96580.8828125,58.04,58.85,417,679.3834,562.8632,417
2090000,-92590.203125,59.41,59.61,418,659.6478,683.5912,418
2095000,-93535.5859375,58.89,60.07,419,636.578,731.6375,419
2100000,-95922.375,62.0,61.68,420,648.0897,579.955,420
2105000,-96124.5390625,59.76,59.86,421,631.9103,1161.3805,421
2110000,-97674.890625,60.35,59.97,422,666.154,1043.2015,422
2115000,-97955.2890625,60.19,60.11,423,682.3653,2575.6449,423
2120000,-97584.265625,60.32,60.81,424,686.9917,1026.5257,424
2125000,-92055.6875,60.48,60.34,425,635.8871,706.9322,425
2130000,-97359.0859375,61.34,60.98,426,660.4702,1396.2336,426
2135000,-93370.9296875,61.38,61.47,427,637.0747,523.5132,427
2140000,-87041.2734375,62.26,61.67,428,635.5993,1244.6963,428
2145000,-82967.9609375,61.42,61.7,429,642.5982,1213.3668,429
2150000,-84399.2109375,61.94,62.62,430,639.9243,1591.9746,430
2155000,-82789.6640625,61.72,61.83,431,638.4947,1207.5551,431
2160000,-83455.65625,58.9,59.35,432,636.205,933.9585,432
2165000,-85158.0234375,59.92,58.92,433,647.5728,1295.9874,433
2170000,-92318.4296875,61.1,61.29,434,641.6314,600.928,434
2175000,-90651.4296875,60.06,59.41,435,633.8007,448.1697,435
2180000,-88646.859375,59.74,59.59,436,635.868,823.1396,436
2185000,-85346.2421875,59.32,59.21,437,629.6943,915.6032,437
2190000,-86464.6171875,59.36,59.42,438,630.8147,609.601,438
2195000,-82859.78125,60.43,60.24,439,642.0836,466.0409,439
2200000,-87763.2265625,59.34,59.6,440,661.4087,1086.4045,440
2205000,-90780.15625,59.58,59.41,441,633.6947,1435.0717,441
2210000,-89946.0390625,58.46,58.56,442,643.5019,1314.9968,442
2215000,-88865.609375,61.73,61.23,443,637.7481,612.3205,443
2220000,-88728.7578125,62.0,61.59,444,637.3975,938.5344,444
2225000,-85720.625,61.59,61.42,445,647.5076,1155.5246,445
2230000,-88400.640625,59.81,59.64,446,632.8273,570.4265,446
2235000,-89971.8125,62.11,62.53,447,649.8586,1514.9578,447
2240000,-87967.75,62.27,62.26,448,639.1546,579.0677,448
2245000,-91214.8125,60.8,61.34,449,647.6179,833.7375,449
2250000,-89594.1484375,60.55,60.99,450,632.5371,711.8671,450
2255000,-89985.90625,61.76,62.07,451,631.0047,1068.9749,451
2260000,-94235.921875,59.5,59.62,452,638.2104,1014.6822,452
2265000,-91430.953125,59.24,60.09,453,641.1881,743.7579,453
2270000,-94553.3359375,61.25,61.26,454,632.5254,957.7044,454
2275000,-94958.25,62.58,62.86,455,636.5681,1336.7488,455
2280000,-92991.6171875,63.56,63.3,456,635.9569,1270.4758,456
2285000,-93701.9375,63.09,62.92,457,636.8594,1291.9281,457
2290000,-93945.5390625,62.39,62.11,458,645.5124,1949.3582,458
2295000,-92177.765625,63.93,63.87,459,637.4874,1518.4905,459
2300000,-93210.2421875,63.05,62.83,460,647.1365,1915.2335,460
2305000,-92629.0546875,61.52,61.59,461,622.7617,1012.4151,461
2310000,-91382.6796875,60.66,61.16,462,629.5026,584.6225,462
2315000,-92870.453125,63.73,63.5,463,630.2568,1101.1016,463
2320000,-91061.296875,64.19,64.1,464,628.4671,701.9258,464
2325000,-94833.84375,61.42,61.16,465,642.5866,1461.0904,465
2330000,-91489.8203125,58.67,58.31,466,633.2485,1114.0872,466
2335000,-88728.9765625,61.64,61.71,467,629.1746,497.2079,467
2340000,-93139.1328125,62.18,62.27,468,636.2986,1032.8182,468
2345000,-92446.9921875,61.48,62.58,469,636.5999,1596.7721,469
2350000,-93779.296875,63.12,62.87,470,641.2727,908.2051,470
2355000,-91478.2890625,62.96,62.47,471,633.4335,1201.618,471
2360000,-91807.234375,63.02,62.75,472,642.4985,1154.8144,472
2365000,-91073.5078125,60.59,60.65,473,627.1574,1132.6855,473
2370000,-95477.90625,59.8,59.99,474,653.3755,2144.0607,474
2375000,-95001.2109375,62.36,61.87,475,652.5497,1490.9844,475
2380000,-94659.8515625,62.92,63.28,476,649.3637,1684.824,476
2385000,-95984.015625,63.51,63.45,477,650.7961,2169.0724,477
2390000,-94341.09375,60.68,60.55,478,639.4383,1588.7921,478
2395000,-92562.875,64.15,64.18,479,630.0755,806.0749,479
2400000,-92749.4375,58.69,59.49,480,637.9624,1094.6819,480
2405000,-91637.140625,62.07,62.3,481,629.8844,758.3736,481
2410000,-90999.171875,62.02,62.05,482,623.3546,564.7322,482
2415000,-93198.1015625,58.68,59.48,483,613.741,1167.5426,483
2420000,-94630.421875,63.48,64.27,484,626.9073,1615.5918,484
2425000,-94063.3515625,60.16,59.61,485,638.1218,1491.2079,485
2430000,-97384.59375,61.35,61.03,486,663.199,2522.0543,486
2435000,-97692.6796875,60.91,60.89,487,677.2496,2744.3664,487
2440000,-94761.125,60.36,60.88,488,639.9032,999.1898,488
2445000,-96661.59375,62.21,61.0,489,654.0858,1767.5934,489
2450000,-97590.359375,62.49,62.21,490,663.1449,2409.4616,490
2455000,-96015.7109375,59.72,60.02,491,648.3968,1883.6161,491
2460000,-97520.0078125,59.61,59.76,492,671.1659,2360.43,492
2465000,-95288.0390625,61.94,61.46,493,644.9298,1986.3417,493
2470000,-94118.28125,61.55,60.87,494,641.1542,1646.968,494
2475000,-95210.8828125,62.92,62.83,495,625.6936,1370.4621,495
2480000,-96586.4375,63.67,63.92,496,652.9072,2105.6578,496
2485000,-95247.1875,64.93,64.53,497,641.1559,1690.7834,497
2490000,-95979.6484375,61.83,61.42,498,635.0291,2311.7131,498
2495000,-96911.015625,62.65,62.65,499,643.0058,1785.9259,499
2500000,-97143.2265625,64.96,64.43,500,658.4747,2915.9685,500
2505000,-95695.859375,62.67,63.09,501,627.8285,1754.6332,501
2510000,-95680.0546875,64.67,64.63,502,627.6881,1472.8338,502
2515000,-94427.34375,62.19,61.41,503,630.8395,1165.6889,503
2520000,-95189.875,64.94,65.3,504,636.287,1603.3009,504
2525000,-96291.71875,57.55,58.1,505,633.9211,1661.2965,505
2530000,-96258.859375,64.46,64.32,506,643.4907,1817.3372,506
2535000,-97245.5546875,62.83,62.7,507,651.1057,1807.5425,507
2540000,-96063.3046875,62.45,62.48,508,644.3856,850.0339,508
2545000,-97675.5234375,60.45,60.9,509,660.3059,2748.14,509
2550000,-96535.4765625,59.01,59.77,510,639.139,1800.9432,510
2555000,-96275.8203125,58.68,58.65,511,645.2685,1942.698,511
2560000,-97638.796875,61.27,61.09,512,658.4039,2502.4949,512
2565000,-97864.53125,59.72,59.75,513,652.0737,1730.41,513
2570000,-96061.6640625,60.92,60.8,514,632.7696,1479.3733,514
2575000,-97941.453125,62.67,62.57,515,655.8749,2423.9499,515
2580000,-96853.546875,63.33,62.96,516,626.9328,1267.7752,516
2585000,-97834.609375,58.04,58.29,517,654.969,1940.161,517
2590000,-96677.671875,63.54,62.71,518,633.3024,1574.1308,518
2595000,-95120.40625,60.63,60.22,519,627.9906,1325.666,519
2600000,-97652.65625,59.52,59.93,520,651.1731,2040.4258,520
2605000,-97828.8046875,61.05,59.91,521,654.4327,2458.5403,521
2610000,-98393.6953125,59.18,60.56,522,663.6719,2338.8841,522
2615000,-95846.53125,60.46,59.85,523,633.4125,1089.4637,523
2620000,-97458.0546875,60.75,60.25,524,648.3087,2384.43,524
2625000,-94199.78125,60.59,61.03,525,618.9973,641.0358,525
2630000,-97796.1328125,61.19,60.38,526,664.7744,2694.6439,526
2635000,-96005.96875,60.88,61.22,527,631.4994,992.676,527
2640000,-95988.5859375,63.47,63.6,528,644.128,1701.018,528
2645000,-95737.8203125,60.71,59.93,529,639.3605,1646.5093,529
2650000,-93111.515625,61.37,60.58,530,621.929,673.714,530
2655000,-94410.5703125,60.21,60.46,531,618.9909,377.7005,531
2660000,-95440.3203125,60.9,61.26,532,629.5401,992.0737,532
2665000,-97002.375,60.28,60.62,533,646.9752,1764.1448,533
2670000,-95016.8828125,60.3,60.07,534,622.3353,906.9574,534
2675000,-95166.875,60.85,61.12,535,624.4921,453.117,535
2680000,-97203.8046875,59.76,60.01,536,633.3824,949.5415,536
2685000,-97335.7421875,60.12,60.16,537,634.6789,966.2169,537
2690000,-96685.8515625,58.21,57.27,538,625.8789,739.422,538
2695000,-98083.3359375,59.28,58.98,539,666.1331,1990.0781,539
2700000,-95920.53125,59.36,59.89,540,670.425,2011.491,540
2705000,-98539.7578125,64.44,63.95,541,682.6442,3335.8135,541
2710000,-97271.96875,54.91,55.68,542,664.2694,2937.8856,542
2715000,-93011.078125,55.85,55.82,543,634.1628,1125.133,543
2720000,-94431.046875,56.11,56.2,544,646.2645,1630.0626,544
2725000,-95022.5234375,63.64,62.73,545,634.0662,1246.9211,545
2730000,-94635.2734375,62.67,62.45,546,645.7171,1250.4863,546
2735000,-97792.671875,62.0,62.23,547,680.8557,3443.323,547
2740000,-94687.2734375,63.13,63.13,548,648.7723,1403.1912,548
2745000,-94618.171875,63.61,62.9,549,634.597,720.3019,549
2750000,-93731.09375,62.1,61.76,550,632.1251,1145.8046,550
2755000,-95270.2734375,62.32,61.9,551,634.7764,1175.5953,551
2760000,-95398.5546875,57.19,59.41,552,627.2843,1337.173,552
2765000,-93999.3984375,60.26,61.8,553,619.8829,702.2482,553
2770000,-94606.421875,60.14,61.8,554,636.6296,838.0128,554
2775000,-95375.2734375,61.54,61.61,555,624.0299,410.7345,555
2780000,-95654.4765625,63.4,63.89,556,618.6509,385.7388,556
2785000,-96369.1953125,63.48,63.66,557,626.3545,477.903,557
2790000,-96264.5625,64.62,63.3,558,633.3557,998.5109,558
2795000,-96793.71875,64.95,64.87,559,623.4,733.1604,559
2800000,-95692.34375,64.16,63.8,560,621.6522,506.9115,560
2805000,-96296.0078125,59.29,58.85,561,631.7521,622.2509,561
2810000,-95598.21875,60.41,59.74,562,621.3603,489.7102,562
2815000,-96582.4453125,59.58,59.46,563,624.7478,675.5478,563
2820000,-96101.7109375,59.29,58.97,564,616.417,707.5247,564
2825000,-95735.0,61.47,61.8,565,622.7297,437.1568,565
2830000,-95198.96875,62.68,62.36,566,610.6361,388.4029,566
2835000,-96499.4140625,63.28,63.42,567,610.7841,387.2024,567
2840000,-96223.78125,63.43,62.4,568,619.5128,453.5505,568
2845000,-95810.0078125,61.1,61.12,569,613.2423,398.756,569
2850000,-96235.390625,60.97,59.69,570,618.3828,421.1878,570
2855000,-96480.8125,59.21,58.9,571,617.4153,437.6358,571
2860000,-96299.703125,59.96,61.34,572,618.8457,380.7316,572
2865000,-95561.2578125,57.2,56.96,573,635.5944,481.2096,573
2870000,-96143.8828125,61.1,61.74,574,616.8641,416.463,574
2875000,-96821.671875,62.82,62.94,575,618.3106,407.0631,575
2880000,-96408.625,62.58,62.61,576,631.0313,464.3061,576
2885000,-96786.078125,64.26,62.16,577,621.4561,558.8058,577
2890000,-96498.25,61.4,60.64,578,617.5557,395.024,578
2895000,-96666.9296875,64.05,61.03,579,623.1583,454.8647,579
2900000,-97089.7578125,57.57,58.86,580,621.3361,699.203,580
2905000,-96344.1875,65.82,64.63,581,619.8208,427.4329,581
2910000,-97162.578125,66.26,65.38,582,622.4939,484.3768,582
2915000,-96256.3984375,62.29,62.34,583,619.483,449.2762,583
2920000,-97097.0,64.92,64.73,584,627.2295,912.9737,584
2925000,-97213.828125,59.94,59.47,585,634.0898,672.7225,585
2930000,-96769.0,58.36,58.91,586,630.9669,517.1922,586
2935000,-97338.015625,63.67,62.79,587,626.8749,507.3831,587
2940000,-96844.7265625,58.62,59.38,588,629.4903,470.1704,588
2945000,-96355.40625,59.26,59.92,589,606.5623,487.7116,589
2950000,-96922.5390625,61.13,61.47,590,618.2036,736.7771,590
2955000,-96783.421875,58.67,58.73,591,618.5854,1009.2762,591
2960000,-96352.3984375,58.65,59.74,592,605.3841,487.0697,592
2965000,-96470.6796875,58.86,59.81,593,613.4293,948.8367,593
2970000,-96678.28125,63.63,61.84,594,625.2279,1164.2746,594
2975000,-96664.7421875,58.97,59.68,595,621.2799,988.6239,595
2980000,-96494.7578125,57.56,59.73,596,607.6974,691.5165,596
2985000,-97688.5390625,58.83,59.63,597,629.8329,1408.4183,597
2990000,-96285.3515625,61.78,61.86,598,600.3766,506.9915,598
2995000,-98416.5234375,60.17,59.9,599,649.3002,2637.5236,599
