Real Sto Return,Running Update Time,Running Forward KL,Running Env Steps,Itration,Reward Loss,Real Det Return,Running Reverse KL
3395.41,122,17.3746,610000,122,-116.4280776977539,3462.0,10.373
3030.73,123,17.7114,615000,123,-155.91815185546875,3509.47,10.7092
3416.17,124,17.8794,620000,124,-114.34310913085938,3522.76,10.9048
3270.29,125,18.9518,625000,125,-116.85311889648438,3429.81,11.8181
2765.36,126,18.0852,630000,126,-180.22412109375,3539.09,10.3438
3044.33,127,18.2469,635000,127,-163.60890197753906,3600.07,10.4917
3321.52,128,17.0842,640000,128,-108.73916625976562,3518.58,10.3384
3407.71,129,16.3322,645000,129,-123.36376190185547,3554.75,9.6765
3435.4,130,17.1687,650000,130,-114.72886657714844,3475.54,10.5749
3441.82,131,18.5386,655000,131,-136.03494262695312,3463.91,12.1463
3360.64,132,17.3015,660000,132,-122.40808868408203,3549.73,10.2224
3207.77,133,18.625,665000,133,-202.0772705078125,3529.3,10.4174
3487.14,134,16.5756,670000,134,-71.47592163085938,3515.83,10.5881
3502.77,135,18.2497,675000,135,-120.39512634277344,3554.49,13.0673
3011.12,136,18.7806,680000,136,-156.72084045410156,3516.5,10.8429
3439.9,137,17.9273,685000,137,-112.16360473632812,3476.04,10.4857
3328.32,138,16.4751,690000,138,-138.77249145507812,3472.23,10.7383
3479.69,139,17.9974,695000,139,-124.66505432128906,3489.52,11.0248
3174.89,140,17.186,700000,140,-179.14718627929688,3504.75,9.7847
3356.79,141,17.9164,705000,141,-108.03777313232422,3485.6,10.5886
3265.24,142,16.6344,710000,142,-134.39791870117188,3386.76,9.5638
3472.59,143,15.8974,715000,143,-115.59510040283203,3504.69,9.9036
2805.52,144,18.2172,720000,144,-292.58245849609375,3552.63,13.0388
3414.3,145,16.4724,725000,145,-118.19454956054688,3463.95,10.1856
3450.07,146,17.7384,730000,146,-135.91954040527344,3509.34,10.9722
2362.42,147,17.2131,735000,147,-172.16488647460938,3494.32,10.1461
2088.87,148,18.8584,740000,148,-138.1485137939453,3525.54,12.9046
3355.64,149,16.8524,745000,149,-142.3755645751953,3485.47,10.5261
3330.77,150,17.2432,750000,150,-166.9627685546875,3508.29,10.4732
3459.34,151,16.6871,755000,151,-114.578369140625,3495.67,9.8764
3465.52,152,17.1833,760000,152,-130.6960906982422,3557.08,10.3814
3241.32,153,17.163,765000,153,-151.5562286376953,3513.35,10.2436
2254.52,154,18.0328,770000,154,-158.11666870117188,3479.45,10.6576
3404.14,155,17.1269,775000,155,-148.1942901611328,3550.83,10.133
3381.51,156,17.1443,780000,156,-158.35446166992188,3530.37,10.2757
3285.16,157,16.444,785000,157,-117.56378173828125,3505.4,10.1786
3072.99,158,17.8898,790000,158,-169.74923706054688,3514.18,10.0843
1677.79,159,19.9943,795000,159,-470.7272033691406,2198.41,12.7625
3249.17,160,16.909,800000,160,-211.14442443847656,3523.07,9.7955
2800.23,161,17.9749,805000,161,-277.1433410644531,3556.79,11.6101
3483.12,162,16.1715,810000,162,-162.88357543945312,3526.51,10.1987
3507.24,163,16.5352,815000,163,-163.23593139648438,3529.84,9.5111
3387.04,164,16.5001,820000,164,-205.26210021972656,3538.24,10.5397
2705.68,165,18.3705,825000,165,-383.6552734375,3537.79,11.2027
3320.7,166,16.5074,830000,166,-133.61502075195312,3538.07,10.5639
3431.35,167,16.8677,835000,167,-136.9976348876953,3469.66,10.2571
2894.07,168,18.944,840000,168,-357.5218200683594,3496.42,10.8662
3344.47,169,17.1429,845000,169,-193.54197692871094,3494.09,9.7381
3389.19,170,16.4243,850000,170,-145.4322967529297,3475.55,9.8142
3493.82,171,14.93,855000,171,-158.515869140625,3522.01,9.5994
3178.24,172,16.1986,860000,172,-174.595947265625,3558.17,8.9973
3465.9,173,16.5423,865000,173,-167.480224609375,3501.26,10.0864
3381.41,174,15.912,870000,174,-172.2032470703125,3522.27,9.0061
3200.53,175,17.8838,875000,175,-232.0725555419922,3502.24,10.2586
3218.19,176,16.8483,880000,176,-152.79656982421875,3527.39,10.5973
2773.81,177,17.1512,885000,177,-246.9644317626953,3550.44,11.3324
3437.81,178,14.8105,890000,178,-169.4049835205078,3471.68,9.7372
3144.69,179,17.5968,895000,179,-244.50718688964844,3514.66,9.9432
1559.62,180,16.4613,900000,180,-408.0062561035156,2968.88,71.2844
3447.97,181,15.4574,905000,181,-198.20213317871094,3484.51,9.0582
3440.86,182,16.2624,910000,182,-191.5057373046875,3501.38,9.6285
3494.69,183,15.8455,915000,183,-161.98402404785156,3516.4,9.5105
3430.79,184,15.6881,920000,184,-169.4060516357422,3477.19,9.4982
3420.05,185,16.9602,925000,185,-197.2754669189453,3457.32,10.4842
3467.89,186,16.4167,930000,186,-180.24778747558594,3502.91,9.8928
3465.46,187,15.8051,935000,187,-198.5369873046875,3512.93,10.1459
3458.47,188,16.5979,940000,188,-168.1595458984375,3503.72,10.6201
3256.81,189,18.237,945000,189,-258.64385986328125,3558.86,10.3532
3476.24,190,16.248,950000,190,-196.99752807617188,3513.12,10.4268
3312.82,191,17.091,955000,191,-196.34193420410156,3531.97,9.6758
3483.75,192,17.0702,960000,192,-205.21044921875,3503.62,10.8306
3083.52,193,16.6901,965000,193,-191.1771240234375,3518.98,9.9675
3358.0,194,16.8847,970000,194,-230.18299865722656,3527.83,10.0988
3469.45,195,16.28,975000,195,-186.92672729492188,3496.73,10.4057
3351.24,196,16.3274,980000,196,-207.7054443359375,3522.69,10.3037
3487.05,197,16.6038,985000,197,-202.08633422851562,3511.91,10.5774
3334.59,198,16.6446,990000,198,-209.13027954101562,3487.03,9.8086
3390.69,199,15.9119,995000,199,-192.47467041015625,3500.29,10.1449
